상호명,업종,분류,행정동명,지번주소,경도,위도
종로할머니칼국수,한식,국수/칼국수,남산동,경상남도 창원시 성산구 남산동 601-4,128.69582,35.2026226
위치,기타 간이,김밥/만두/분식,오동동,경상남도 창원시 마산합포구 오동동 153-33,128.5777507,35.20740804
경성설렁탕,한식,국/탕/찌개류,석전동,경상남도 창원시 마산회원구 석전동 258-4,128.5755803,35.22980064
연기나는집,한식,돼지고기 구이/찜,용호동,경상남도 창원시 성산구 용호동 73-22,128.6811881,35.2298023
아라가야,한식,백반/한정식,구암동,경상남도 창원시 마산회원구 구암동 25-12,128.590558,35.24244749
도야족발보쌈,한식,백반/한정식,이동,경상남도 창원시 진해구 이동 47-13,128.7006129,35.15070028
에나면옥,한식,냉면/밀면,대방동,경상남도 창원시 성산구 대방동 358,128.709229,35.21016175
삼보집밥,한식,백반/한정식,산호동,경상남도 창원시 마산합포구 산호동 323-2,128.5848569,35.21051088
진식당,한식,백반/한정식,봉곡동,경상남도 창원시 의창구 봉곡동 143-1,128.6712314,35.24672333
남도시골밥상,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 16,128.6833987,35.22222699
어탕골,한식,백반/한정식,북면,경상남도 창원시 의창구 북면 신촌리 1459-9,128.6105055,35.35291504
옛날손짜장,중식,중국집,천선동,경상남도 창원시 성산구 천선동 1142,128.6946017,35.18722438
한방족발,한식,족발/보쌈,상남동,경상남도 창원시 마산합포구 상남동 40-7,128.5709152,35.21624735
화이트김밥,기타 간이,김밥/만두/분식,월영동,경상남도 창원시 마산합포구 월영동 424-1,128.5561071,35.18218836
송담추어탕,한식,국/탕/찌개류,남문동,경상남도 창원시 진해구 남문동 1233,128.7500361,35.10662233
회나라,한식,백반/한정식,양덕동,경상남도 창원시 마산회원구 양덕동 15-24,128.5842681,35.23257145
카라토스트,기타 간이,토스트/샌드위치/샐러드,창동,경상남도 창원시 마산합포구 창동 34-3,128.5740374,35.20726345
민채김밥,기타 간이,김밥/만두/분식,북면,경상남도 창원시 의창구 북면 무동리 145-3,128.5847008,35.31728399
장터족발,한식,족발/보쌈,남성동,경상남도 창원시 마산합포구 남성동 185-2,128.5753239,35.20280432
카페101,한식,백반/한정식,중앙동,경상남도 창원시 성산구 중앙동 101-1,128.6752456,35.21929807
몬스터홀덤,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 22-2,128.6836247,35.22035979
