장소명,분류,시간,주소,누구와,무엇을,어떻게,이미지,경도,위도
메리스도넛,카페,종일,경남 창원시 의창구 사림로 149 창원대삼거리,가족과,식도락,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_189%2F1683257490757G1P3F_JPEG%2FKakaoTalk_20230505_120217436.jpg,128.6852517,35.2416887
메리스도넛,카페,종일,경남 창원시 의창구 사림로 149 창원대삼거리,연인과,식도락,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_189%2F1683257490757G1P3F_JPEG%2FKakaoTalk_20230505_120217436.jpg,128.6852517,35.2416887
메리스도넛,카페,종일,경남 창원시 의창구 사림로 149 창원대삼거리,친구와,식도락,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_189%2F1683257490757G1P3F_JPEG%2FKakaoTalk_20230505_120217436.jpg,128.6852517,35.2416887
브라운핸즈,카페,종일,경남 창원시 마산합포구 가포순환로 109,가족과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150910_256%2F1441875934871VCyF6_JPEG%2F166857545930984_1.jpeg,128.5750679,35.1736912
브라운핸즈,카페,종일,경남 창원시 마산합포구 가포순환로 109,친구와,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150910_256%2F1441875934871VCyF6_JPEG%2F166857545930984_1.jpeg,128.5750679,35.1736912
오핑,카페,종일,경남 창원시 마산합포구 구산면 해양관광로 1927-46,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200423_23%2F1587633271249Nmhya_JPEG%2FPmLYZPrxYS5iOvcNZ3m8IVKR.jpg,128.5632699,35.0642792
카페 쿠,카페,종일,경남 창원시 마산합포구 구산면 해양관광로 1767,가족과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200813_6%2F1597305342753G6D7M_JPEG%2Fg5UIDcxuI9GfiEQlgcwb25yE.jpg,128.5659569,35.0748192
백령카페,카페,종일,경남 창원시 마산합포구 구산면 안녕로 425-16,연인과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210116_140%2F1610765170371lxgjf_JPEG%2Fc_29TvZCd3FH2a-XUGSh6Z7s.jpg,128.6010298,35.1022037
백령카페,카페,종일,경남 창원시 마산합포구 구산면 안녕로 425-16,가족과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210116_140%2F1610765170371lxgjf_JPEG%2Fc_29TvZCd3FH2a-XUGSh6Z7s.jpg,128.6010298,35.1022037
오오유 진해점,카페,종일,창원시 진해구 석동 12-1,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230314_2%2F167877877632862NqB_JPEG%2F1A132800-CBAC-4D22-A1D5-14C12E8EE1A0.jpeg,128.7079196,35.1607956
오오유 진해점,카페,종일,창원시 진해구 석동 12-1,가족과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230314_2%2F167877877632862NqB_JPEG%2F1A132800-CBAC-4D22-A1D5-14C12E8EE1A0.jpeg,128.7079196,35.1607956
오오유 진해점,카페,종일,창원시 진해구 석동 12-1,친구와,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230314_2%2F167877877632862NqB_JPEG%2F1A132800-CBAC-4D22-A1D5-14C12E8EE1A0.jpeg,128.7079196,35.1607956
플랜비,카페,종일,경남 창원시 진해구 진희로 146 진해루 휴게소 2층,가족과,드라이브,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220317_114%2F1647497674367ut2Ny_JPEG%2F20220118_124343.jpg,128.6846856,35.147169
플랜비,카페,종일,경남 창원시 진해구 진희로 146 진해루 휴게소 2층,친구와,드라이브,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220317_114%2F1647497674367ut2Ny_JPEG%2F20220118_124343.jpg,128.6846856,35.147169
카페 아토,카페,종일,경남 창원시 진해구 충장로 601,연인과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230611_76%2F16864910692110FFd4_JPEG%2FKakaoTalk_20230611_224146013_02.jpg,128.7025599,35.135869
스위트랩,카페,종일,경남 창원시 진해구 속천로 73-1,연인과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230407_187%2F1680810726478lPjCp_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25BD%25BA%25C0%25A7%25C6%25AE%25B7%25A6_%25B8%25C5%25C0%25E5.jpg,128.6712723,35.1411567
슬로우오븐,카페,종일,경남 창원시 진해구 속천로23번길 2,연인과,식도락,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MThfNTkg%2FMDAxNjg5NjU2Nzk4NTE0.F9wFY8bTqJiP04nVBKH2KLLjHWlFK8oMDuY3d3uCgjIg.t_sC2t6PS2l1X9CgH5jAHf5az9toAqMGhVDyCSnOr-sg.JPEG%2F20230716_130357.jpg.jpg,128.670246,35.1443336
슬로우오븐,카페,종일,경남 창원시 진해구 속천로23번길 2,가족과,식도락,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MThfNTkg%2FMDAxNjg5NjU2Nzk4NTE0.F9wFY8bTqJiP04nVBKH2KLLjHWlFK8oMDuY3d3uCgjIg.t_sC2t6PS2l1X9CgH5jAHf5az9toAqMGhVDyCSnOr-sg.JPEG%2F20230716_130357.jpg.jpg,128.670246,35.1443336
슬로우오븐,카페,종일,경남 창원시 진해구 속천로23번길 2,친구와,식도락,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MThfNTkg%2FMDAxNjg5NjU2Nzk4NTE0.F9wFY8bTqJiP04nVBKH2KLLjHWlFK8oMDuY3d3uCgjIg.t_sC2t6PS2l1X9CgH5jAHf5az9toAqMGhVDyCSnOr-sg.JPEG%2F20230716_130357.jpg.jpg,128.670246,35.1443336
카페파란,카페,종일,경남 창원시 진해구 벚꽃로60번길,연인과,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220929_242%2F1664412497489hfwIJ_JPEG%2F0CFD5EB3-4128-4F28-95FD-DDF655C91FBB.jpeg,128.6648925,35.1507962
진해요,카페,종일,경남 창원시 진해구 중원로 68-7,연인과,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_58%2F1597146149723Dgz7U_JPEG%2FJrfapj8gBR_TujpYoEPzX-Vi.jpg,128.6602861,35.1503656
레스트125,카페,종일,경남 창원시 진해구 돌리로30번안길 33-25,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181220_16%2F1545308394902WxLDM_JPEG%2FwS0_F4-XnO9o9J4ndiy316kY.jpg,128.7051595,35.1629796
레스트125,카페,종일,경남 창원시 진해구 돌리로30번안길 33-25,친구와,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181220_16%2F1545308394902WxLDM_JPEG%2FwS0_F4-XnO9o9J4ndiy316kY.jpg,128.7051595,35.1629796
로드60,카페,종일,경남 창원시 진해구 청안로 60,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230419_110%2F16819002060582wEBe_JPEG%2F28DDF366-A38C-4119-A17D-B8610A477C83.jpeg,128.7894778,35.109492
인코스타,카페,종일,경남 창원시 진해구 제덕로 155,연인과,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201007_201%2F1601996818860YRvxR_JPEG%2FhcdcE1Xc05rytxS8jyh37e_L.jpg,128.7459455,35.0990865
블랙웨일즈,카페,종일,경남 창원시 진해구 명제로472번길 4,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230408_24%2F1680959424890x1QuR_JPEG%2FE131BF07-54BC-4B31-AA66-95D08F05240C.jpeg,128.7431348,35.1004503
청춘어람,카페,종일,경남 창원시 진해구 명제로370번길 30,친구와,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210828_238%2F1630146039938C4XVQ_JPEG%2FoUvCNHouSdyJ4XzAp-9ZNUf8.jpeg.jpg,128.7304935,35.0946399
청춘어람,카페,종일,경남 창원시 진해구 명제로370번길 30,가족과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210828_238%2F1630146039938C4XVQ_JPEG%2FoUvCNHouSdyJ4XzAp-9ZNUf8.jpeg.jpg,128.7304935,35.0946399
청춘어람,카페,종일,경남 창원시 진해구 명제로370번길 30,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210828_238%2F1630146039938C4XVQ_JPEG%2FoUvCNHouSdyJ4XzAp-9ZNUf8.jpeg.jpg,128.7304935,35.0946399
브라운스베이,카페,종일,경남 창원시 진해구 명제로 222,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220202_149%2F1643808098067qCwQP_JPEG%2F29A2A794-5224-4631-B6ED-745C073C8F19.jpeg,128.7202959,35.0976512
포레스트502,카페,종일,경남 창원시 진해구 안청로 93,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230201_204%2F1675240549166xr5bH_JPEG%2F97A20C18-D790-4A77-B82C-64FAE639475D.jpeg,128.8023201,35.1058223
포레스트502,카페,종일,경남 창원시 진해구 안청로 93,친구와,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230201_204%2F1675240549166xr5bH_JPEG%2F97A20C18-D790-4A77-B82C-64FAE639475D.jpeg,128.8023201,35.1058223
이메진커피,카페,종일,경남 창원시 진해구 돌리로9번길 15,연인과,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MDlfNjAg%2FMDAxNjkxNTg3MDQ3Nzcz.RVsmHGIj0BIkIkL-b4h8X5f6zVu8rU7kg787xvaD5kYg.Ljv3HccdyO_WDwZDJVdkQQ1LLSkXwRrlG5gWBiv52Zcg.JPEG.zzzzyena%2FKakaoTalk_20230809_001110398_08.jpg,128.6991785,35.1594828
