장소명,시간,실/내외,주소,설명,정보,누구와,무엇을,어떻게,이미지,위도,경도,계절,금액
로봇랜드,낮,실외,경남 창원시 마산합포구 구산면 로봇랜드로 250,세계 최초로 로봇을 테마로 한 테마파크인 로봇랜드는 온 가족이 함께 즐길 수 있는 놀이기구와 로봇체험 로봇관람시설로 구성되어 있다. 11개의 로봇 체험실은 기존 테마파크와 차별화되어 관람객들에게 많은 즐거움을 선사한다.,단체석 / 주차 / 예약 / 무선 인터넷 / 남-녀 화장실 구분 / 장애인 편의시설,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201221_297%2F1608535066062tMWNS_JPEG%2F2.jpg,128.5869958,35.0771221,봄가을,"어른 파크이용권(종일권)
35000원
청소년 파크이용권(종일권)
31000원
어린이 파크이용권(종일권)
27000원
어른 파크이용권(오후권)
26000원
청소년 파크이용권(오후권)
23000원
어린이 파크이용권(오후권)
20000원
어른 파크입장권(종일권)
16000원
청소년 파크입장권(종일권)
13000원
어린이 파크입장권(종일권)
10000원
청소년/어른 연간회원권
160000원"
콰이강의다리,밤,실외,경남 창원시 마산합포구 구산면 해양관광로 1872-60,저도 콰이강의 다리는 창원의 새로운 핫플레이스다. 2017년 3월 개장한 이후 163만 명이 다녀갈 정도로(2019.11월 기준) 폭발적인 사랑을 받고 있다,주차 / 남-녀 화장실,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEwMzBfMjc5%2FMDAxNjM1NTIwMTUxMjM3.qq8ranlPbdZlnm8UsLEbKNLi0-gQlHkSpLg1iV-uuS4g.yMp0L5-uH7PUOx-peu3e-V6T5Al9ySLn53c_Rab0ftwg.JPEG.kimyr8569%2FIMG_8707.jpg%23900x674,128.5620027,35.0670294,봄여름가을겨울,무료
콰이강의다리,밤,실외,경남 창원시 마산합포구 구산면 해양관광로 1872-60,저도 콰이강의 다리는 창원의 새로운 핫플레이스다. 2017년 3월 개장한 이후 163만 명이 다녀갈 정도로(2019.11월 기준) 폭발적인 사랑을 받고 있다,주차 / 남-녀 화장실,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEwMzBfMjc5%2FMDAxNjM1NTIwMTUxMjM3.qq8ranlPbdZlnm8UsLEbKNLi0-gQlHkSpLg1iV-uuS4g.yMp0L5-uH7PUOx-peu3e-V6T5Al9ySLn53c_Rab0ftwg.JPEG.kimyr8569%2FIMG_8707.jpg%23900x674,128.5620027,35.0670294,봄여름가을겨울,무료
스파더스페이스,낮,실내,경남 창원시 마산합포구 구산면 유산군령로 250,창원 최초의 온천 복합문화공간으로 호텔식 시설의 온천과 온천수 인피니티 풀/골프/피트니스를 한곳에서 이용 하실 수 있습니다,주차 / 무선 인터넷 / 유아시설 (놀이방) / 남-녀 화장실 구분 / 장애인 편의시설,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230612_109%2F1686558365214hrf4Y_JPEG%2Fbanner_x.jpg,128.5612855,35.1306029,봄여름가을,"온천+인피니티풀 소인[비수기]
17000원
온천+인피니티풀 소인[성수기]
20000원
온천+인피니티풀 일반[비수기]
22000원
온천+인피니티풀 일반[성수기]
25000원
찜질[주중-주말/일반-소인 공통]
2000원
온천 소인[주말]
8000원
온천 소인[주중]
7000원
온천 일반[주말]
13000원
온천 일반[주중]
11000원"
광암해수욕장,낮,실외,경남 창원시 마산합포구 진동면 요장리,경상남도 창원시 마산합포구 진동면 요장리에 있는 해수욕장. 백사장 면적은 3천 평에 수온은 22~23도로 창원시 마산합포구에서 충무시 방향으로 30분 거리에 있다,주차 / 남-녀 화장실 / 샤워실,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MjJfNDcg%2FMDAxNTk1NDI2MDMxNjMy.AqniTkz1i1zQ6fPGm6wqjny929GuUiuj8v8m-a2A8gog.hHlZ6gYVqroLcNJgi8l39ea4E7bm-FhkfeMxiuKP-R4g.JPEG.hana_bee_%2F1595426036424.jpg%23900x675,128.5007088,35.1025087,여름,무료
광암해수욕장,낮,실외,경남 창원시 마산합포구 진동면 요장리,경상남도 창원시 마산합포구 진동면 요장리에 있는 해수욕장. 백사장 면적은 3천 평에 수온은 22~23도로 창원시 마산합포구에서 충무시 방향으로 30분 거리에 있다,주차 / 남-녀 화장실 / 샤워실,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MjJfNDcg%2FMDAxNTk1NDI2MDMxNjMy.AqniTkz1i1zQ6fPGm6wqjny929GuUiuj8v8m-a2A8gog.hHlZ6gYVqroLcNJgi8l39ea4E7bm-FhkfeMxiuKP-R4g.JPEG.hana_bee_%2F1595426036424.jpg%23900x675,128.5007088,35.1025087,봄여름가을겨울,무료
해양드라마세트장,낮,실외,경남 창원시 마산합포구 구산면 석곡리 산183-2,해양드라마세트장은 수많은 역사 드라마와 영화를 촬영한 세트장이다. 사방으로 산과 바다가 보이는 아름다운 풍경 속에 야철장/선착장/저잣거리 등 다양한 콘셉트의 목조 건물 세트가 들어서있다,주차 / 남-녀 화장실,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MTZfMTAx%2FMDAxNjkyMTYxNzE3MjY4.t7zjX5lfy5Y2C64Yc9HxWkQw1D0YP8x6JtjmXG54K_wg.igHb2eWnC-X1SGRaBiCJtNNXf8yclmcHRarcxPLmdM4g.JPEG%2FA13524B5-D301-4377-944D-7DDFEFF44B03.jpeg,128.5413306,35.1099097,봄여름가을겨울,무료
우주슈퍼,낮,실외,경상남도 창원시 마산합포구 가포본동5길 43,가포해안변공원 또는 가포수변오토캠핑장에서 들어오실수있습니다,카페 / 산책로,가족친구연인,힐링,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA2MjhfMjA0%2FMDAxNjI0ODQ3MjI3MDg3.euG4b8CRLVQ1amNV8FlmkbBAdlj7Dji_30hTgdaYP_Qg.aTyLYE1T4SFTViwIDuEP6tBe3PjrjUP2_ns7o6UKGgUg.JPEG.change2126%2FIMG_1054.JPG,128.5875873,35.1561681,봄가을,"커피- 블랙
4500원
노아주스- 애플
5500원
노아주스- 오렌지
5500원
커피- 라떼
5000원
카라멜라떼
5500원"
우주슈퍼,밤,실내,경상남도 창원시 마산합포구 가포본동5길 43,가포해안변공원 또는 가포수변오토캠핑장에서 들어오실수있습니다,카페 / 산책로,친구연인,드라이브,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA2MjhfMjA0%2FMDAxNjI0ODQ3MjI3MDg3.euG4b8CRLVQ1amNV8FlmkbBAdlj7Dji_30hTgdaYP_Qg.aTyLYE1T4SFTViwIDuEP6tBe3PjrjUP2_ns7o6UKGgUg.JPEG.change2126%2FIMG_1054.JPG,128.5875873,35.1561681,봄여름가을겨울,"커피- 블랙
4500원
노아주스- 애플
5500원
노아주스- 오렌지
5500원
커피- 라떼
5000원
카라멜라떼
5500원"
우주슈퍼,낮,실내,경상남도 창원시 마산합포구 가포본동5길 43,가포해안변공원 또는 가포수변오토캠핑장에서 들어오실수있습니다,카페 / 산책로,친구연인,드라이브,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA2MjhfMjA0%2FMDAxNjI0ODQ3MjI3MDg3.euG4b8CRLVQ1amNV8FlmkbBAdlj7Dji_30hTgdaYP_Qg.aTyLYE1T4SFTViwIDuEP6tBe3PjrjUP2_ns7o6UKGgUg.JPEG.change2126%2FIMG_1054.JPG,128.5875873,35.1561681,봄여름가을겨울,"커피- 블랙
4500원
노아주스- 애플
5500원
노아주스- 오렌지
5500원
커피- 라떼
5000원
카라멜라떼
5500원"
